ThongTinID	TongDiem
BD1204677		30.05
BD1204678		41.35
BD1204679		45.05
BD1204680		28.2
BD1204681		31.45
BD1204682		37.7
BD1204683		32.4
BD1204684		28.85
BD1204685		32.35
BD1204686		36.15
BD1204687		37.45
BD1204688		39.2
BD1204689		38.1
BD1204690		31.25
BD1204691		46.5
BD1204692		34.95
BD1204693		33.65
BD1204694		35.65
BD1204695		28.6
BD1204696		32.7
BD1204697		35.2
BD1204698		35.2
BD1204699		38.1
BD1204700		32.6
BD1204701		25.6
BD1204702		40.6
BD1204703		21.8
BD1204704		31.5
BD1204705		36.2
BD1204706		30.95
BD1204707		29.15
BD1204708		34.7
BD1204709		34.2
BD1204710		55.5
BD1204711		26.25
BD1204712		28.9
BD1204713		32.7
BD1204714		31.25
BD1204715		29.4
BD1204716		54.45
BD1204717		30.3
BD1204718		32.05
BD1204719		49
BD1204720		37.9
BD1204721		21.55
BD1204722		36.65
BD1204723		34.95
BD1204724		40.25
BD1204725		38.3
BD1204726		30.05
BD1204727		38.2
BD1204728		33.4
BD1204729		30.1
BD1204730		39.75
BD1204731		35.45
BD1204732		35.7
BD1204733		26.75
BD1204734		31.15
BD1204735		12.55
BD1204736		48.55
BD1204737		10.5
BD1204738		36.1
BD1204739		49.8
BD1204740		26.05
BD1204741		27.55
BD1204742		34.7
BD1204743		35.8
BD1204744		40.2
BD1204745		37.65
BD1204746		38.6
BD1204747		36.85
BD1204748		30.8
BD1204749		35.9
BD1204750		35.9
BD1204751		34.6
BD1204752		45.5
BD1204753		27.5
BD1204754		26.55
BD1204755		26.15
BD1204756		38.7
BD1204757		36.55
BD1204758		33.25
BD1204759		49.25
BD1204760		31.05
BD1204761		29.5
BD1204762		33.85
BD1204763		34.3
BD1204764		39.6
BD1204765		27.55
BD1204766		30.45
BD1204767		46.15
BD1204768		45.1
BD1204769		37.65
BD1204770		28.35
BD1204771		59.3
BD1204772		31.65
BD1204773		39.05
BD1204774		31.5
BD1204775		35.3
BD1204776		34.15
BD1204777		39.5
BD1204778		35.05
BD1204779		17.2
BD1204780		28.35
BD1204781		41.65
BD1204782		30.05
BD1204783		37.75
BD1204784		40.6
BD1204785		35.75
BD1204786		29.25
BD1204787		31.65
BD1204788		32.45
BD1204789		32.35
BD1204790		28.9
BD1204791		41
BD1204792		27.05
BD1204793		38.35
BD1204794		31.65
BD1204795		28.4
BD1204796		39.9
BD1204797		38.85
BD1204798		41.15
BD1204799		47.7
BD1204800		39.95
BD1204801		25.95
BD1204802		35.55
BD1204803		29.3
BD1204804		34.55
BD1204805		9.25
BD1204806		32.5
BD1204807		38.25
BD1204808		31.3
BD1204809		36.85
BD1204810		32.35
BD1204811		45.75
BD1204812		31
BD1204813		35.85
BD1204814		35.45
BD1204815		38.1
BD1204816		39.75
BD1204817		28.2
BD1204818		35.65
BD1204819		25.35
BD1204820		41.65
BD1204821		26.55
BD1204822		37.05
BD1204823		32
BD1204824		28.1
BD1204825		37.9
BD1204826		33.65
BD1204827		25.4
BD1204828		28.6
BD1204829		38.9
BD1204830		38.85
BD1204831		35.95
BD1204832		31.2
BD1204833		29.4
BD1204834		34.45
BD1204835		33.45
BD1204836		33.7
BD1204837		30.7
BD1204838		32.95
BD1204839		33.15
BD1204840		35.35
BD1204841		20.35
BD1204842		23.7
BD1204843		30.7
BD1204844		37.8
BD1204845		24.2
BD1204846		41.35
BD1204847		34.7
BD1204848		37.7
BD1204849		25.95
BD1204850		41.5
BD1204851		37.15
BD1204852		30.1
BD1204853		36.25
BD1204854		25.3
BD1204855		26.3
BD1204856		26.45
BD1204857		33.95
BD1204858		40.45
BD1204859		33.85
BD1204860		32.25
BD1204861		34.45
BD1204862		31.95
BD1204863		34.4
BD1204864		28.65
BD1204865		35.2
BD1204866		36.45
BD1204867		33.4
BD1204868		28.65
BD1204869		34.8
BD1204870		40.85
BD1204871		45.75
BD1204872		31.7
BD1204873		34.85
BD1204874		33.95
BD1204875		38.85
BD1204876		36.6
BD1204877		35.3
BD1204878		31.75
BD1204879		26.25
BD1204880		21.95
BD1204881		25.95
BD1204882		27.35
BD1204883		29.3
BD1204884		17.5
BD1204885		30.5
BD1204886		30.45
BD1204887		33.15
BD1204888		29.5
BD1204889		7.85
BD1204890		35
BD1204891		34.45
BD1204892		38.85
BD1204893		34.95
BD1204894		35.25
BD1204895		37.1
BD1204896		34.15
BD1204897		24.25
BD1204898		22.9
BD1204899		42.1
BD1204900		32.35
BD1204901		43.05
BD1204902		35.95
BD1204903		33.05
BD1204904		38.35
BD1204905		40.8
BD1204906		32.3
BD1204907		34.3
BD1204908		39.35
BD1204909		33.95
BD1204910		42.6
BD1204911		36.9
BD1204912		40.1
BD1204913		32.9
BD1204914		42.15
BD1204915		49.25
BD1204916		32.8
BD1204917		21.65
BD1204918		38.1
BD1204919		38.25
BD1204920		41.35
BD1204921		26.8
BD1204922		30.55
BD1204923		38.05
BD1204924		34.8
BD1204925		39.05
BD1204926		33.1
BD1204927		34.25
BD1204928		21.25
BD1204929		35.65
BD1204930		32.25
BD1204931		25.55
BD1204932		34.05
BD1204933		26.7
BD1204934		26.25
BD1204935		36.45
BD1204936		39.7
BD1204937		38.65
BD1204938		32.1
BD1204939		37.85
BD1204940		50.55
BD1204941		25.3
BD1204942		28.25
BD1204943		40.95
BD1204944		29.35
BD1204945		37.1
BD1204946		26.2
BD1204947		33
BD1204948		34.85
BD1204949		43.6
BD1204950		33.4
BD1204951		47.3
BD1204952		33.6
BD1204953		36.05
BD1204954		12.2
BD1204955		23.15
BD1204956		34.1
BD1204957		21.2
BD1204958		41.2
BD1204959		27.75
BD1204960		24.35
BD1204961		29.85
BD1204962		42.65
BD1204963		40.7
BD1204964		35.65
BD1204965		37.05
BD1204966		26.35
BD1204967		29.9
BD1204968		30.2
BD1204969		25
BD1204970		38
BD1204971		36.2
BD1204972		38.9
BD1204973		39
BD1204974		37.75
BD1204975		33.65
BD1204976		30.05
BD1204977		21.35
BD1204978		42.85
BD1204979		28.4
BD1204980		26.5
BD1204981		35
BD1204982		41.05
BD1204983		34.9
BD1204984		38.6
BD1204985		42.1
BD1204986		30.85
BD1204987		36.8
BD1204988		44.25
BD1204989		36.1
BD1204990		35.3
BD1204991		41
BD1204992		37.7
BD1204993		25.25
BD1204994		40.65
BD1204995		13.7
BD1204996		46.3
BD1204997		40.45
BD1204998		31.8
BD1204999		26.85
BD1205000		33.35
BD1205001		37.6
BD1205002		37.4
BD1205003		25.85
BD1205004		30.55
BD1205005		24.4
BD1205006		36.25
BD1205007		29.3
BD1205008		31.8
BD1205009		31.2
BD1205010		33.95
BD1205011		33.6
BD1205012		29.9
BD1205013		31.8
BD1205014		30.65
BD1205015		31.9
BD1205016		35.7
BD1205017		26.9
BD1205018		25.45
BD1205019		39.6
BD1205020		27.35
BD1205021		28.05
BD1205022		38.05
BD1205023		37.55
BD1205024		30.5
BD1205025		32.45
BD1205026		25.85
BD1205027		42.1
BD1205028		3.5
BD1205029		26.75
BD1205030		38.85
BD1205031		34.3
BD1205032		28.35
BD1205033		32.25
BD1205034		25.9
BD1205035		32.8
BD1205036		29.4
BD1205037		29.8
BD1205038		15.15
BD1205039		37.3
BD1205040		24.9
BD1205041		39.8
BD1205042		39.9
BD1205043		34.75
BD1205044		28.9
BD1205045		34.2
BD1205046		14.6
BD1205047		31.15
BD1205048		31.45
BD1205049		33.4
BD1205050		33.25
BD1205051		33.1
BD1205052		29.5
BD1205053		28.45
BD1205054		23.55
BD1205055		38.4
BD1205056		30.95
BD1205057		30.35
BD1205058		46.75
BD1205059		29.05
BD1205060		39.75
BD1205061		33.45
BD1205062		29.05
BD1205063		19.75
BD1205064		37.45
BD1205065		29.85
BD1205066		31.25
BD1205067		36.9
BD1205068		26.85
BD1205069		36.3
BD1205070		17.45
BD1205071		31.95
BD1205072		32.2
BD1205073		28.7
BD1205074		28.75
BD1205075		29.45
BD1205076		37.2
BD1205077		28.15
BD1205078		33.25
BD1205079		40.95
BD1205080		26.55
BD1205081		40.55
BD1205082		38.2
BD1205083		20.55
BD1205084		28.95
BD1205085		32.3
BD1205086		22.4
BD1205087		31.9
BD1205088		33
BD1205089		40.95
BD1205090		25.75
BD1205091		36.75
BD1205092		8.7
BD1205093		35.35
BD1205094		22.4
BD1205095		45.3
BD1205096		19
BD1205097		26.35
BD1205098		32.6
BD1205099		38.75
BD1205100		39.15
BD1205101		24.6
BD1205102		28.2
BD1205103		35.6
BD1205104		25.15
BD1205105		38.25
BD1205106		21.85
BD1205107		31.45
BD1205108		24.65
BD1205109		27.6
BD1205110		39.15
BD1205111		33.65
BD1205112		61
BD1205113		27.25
BD1205114		35.3
BD1205115		43.1
BD1205116		32.05
BD1205117		40.65
BD1205118		41.3
BD1205119		28.95
BD1205120		34.1
BD1205121		40.65
BD1205122		36
BD1205123		34.5
BD1205124		30.6
BD1205125		42.2
BD1205126		33
BD1205127		29.95
BD1205128		27.15
BD1205129		21.25
BD1205130		46.2
BD1205131		38.65
BD1205132		32.2
BD1205133		40.9
BD1205134		15.8
BD1205135		30.1
BD1205136		43.85
BD1205137		37.85
BD1205138		30.8
BD1205139		35.25
BD1205140		30.35
BD1205141		32.8
BD1205142		32.1
BD1205143		37.1
BD1205144		26.35
BD1205145		38.65
BD1205146		30.55
BD1205147		36.95
BD1205148		34
BD1205149		44.35
BD1205150		31.15
BD1205151		30.4
BD1205152		35.05
BD1205153		44.6
BD1205154		34.55
BD1205155		37.35
BD1205156		29.65
BD1205157		35.6
BD1205158		37.05
BD1205159		26.35
BD1205160		34.95
BD1205161		39.25
BD1205162		34.5
BD1205163		27.6
BD1205164		42.9
BD1205165		33
BD1205166		31.95
BD1205167		28.85
BD1205168		27.4
BD1205169		39.1
BD1205170		39.7
BD1205171		27.3
BD1205172		23.9
BD1205173		38.55
BD1205174		30.6
BD1205175		33.35
BD1205176		27.05
BD1205177		40.6
BD1205178		32.6
BD1205179		44.4
BD1205180		27.25
BD1205181		33.35
BD1205182		42.5
BD1205183		33.35
BD1205184		42.15
BD1205185		30.55
BD1205186		41.15
BD1205188		32.05
BD1205189		40.5
BD1205190		17.7
BD1205191		28.2
BD1205192		40.15
BD1205193		31.55
BD1205194		28.5
BD1205195		25.2
BD1205196		36.6
BD1205197		11.1
BD1205198		27.4
BD1205199		46.7
BD1205200		32.1
BD1205201		29.4
BD1205202		35.35
BD1205203		20.5
BD1205204		31.3
BD1205205		31.55
BD1205206		40.45
BD1205207		22
BD1205208		20.5
BD1205209		33.8
BD1205210		44.15
BD1205211		32.3
BD1205212		27.25
BD1205213		32.3
BD1205214		29.8
BD1205215		36.65
BD1205216		27.9
BD1205217		47.8
BD1205218		24.6
BD1205219		33.25
BD1205220		27.75
BD1205221		33.3
BD1205222		30.7
BD1205223		46.95
BD1205224		34.95
BD1205225		34.45
BD1205226		34.05
BD1205227		27.5
BD1205228		29.65
BD1205229		34.2
BD1205230		29.6
BD1205231		19.25
BD1205232		27.6
BD1205233		24.55
BD1205234		49.55
BD1205235		34.5
BD1205236		40.6
BD1205237		36.7
BD1205238		39.55
BD1205239		28.55
BD1205240		34.85
BD1205241		30.75
BD1205242		28.8
BD1205243		29.9
BD1205244		31.7
BD1205245		36.6
BD1205246		33.65
BD1205247		15.3
BD1205248		34.75
BD1205249		35.95
BD1205250		39.8
BD1205251		37.3
BD1205252		30.3
BD1205253		36.9
BD1205254		33.75
BD1205255		30.8
BD1205256		23.4
BD1205257		39.85
BD1205258		22.15
BD1205259		38.35
BD1205260		46.85
BD1205261		24.55
BD1205262		27.7
BD1205263		34
BD1205264		28.85
BD1205265		30.65
BD1205266		42.8
BD1205267		41.9
BD1205268		25.65
BD1205269		34.65
BD1205270		25.55
BD1205271		26.45
BD1205272		36.25
BD1205273		33.7
BD1205274		38.1
BD1205275		25.4
BD1205276		40.4
BD1205277		35.45
BD1205278		26.15
BD1205279		26.05
BD1205280		31.4
BD1205281		40.8
BD1205282		32
BD1205283		35.3
BD1205284		32.5
BD1205285		29
BD1205286		24.6
BD1205287		29.95
BD1205288		35.05
BD1205289		41
BD1205290		32.65
BD1205291		28.05
BD1205292		41.5
BD1205293		28.1
BD1205294		28.6
BD1205295		25.2
BD1205296		35
BD1205297		35.1
BD1205298		32.15
BD1205299		47
BD1205300		22
BD1205301		38.5
BD1205302		41.95
BD1205303		40.7
BD1205304		34.65
BD1205305		35.55
BD1205306		35.85
BD1205307		42.75
BD1205308		33.95
BD1205309		35.4
BD1205310		28.85
BD1205311		34.55
BD1205312		28.5
BD1205313		37.6
BD1205314		31.35
BD1205315		34.05
BD1205316		31.25
BD1205317		47.8
BD1205318		37.6
BD1205319		36.1
BD1205320		42
BD1205321		34.8
BD1205322		38.1
BD1205323		35.15
BD1205324		36.1
BD1205325		37.9
BD1205326		34.9
BD1205327		24.7
BD1205328		32.4
BD1205329		32.5
BD1205330		37.15
BD1205331		40.65
BD1205332		32.65
BD1205333		34.3
BD1205334		31
BD1205335		29.55
BD1205336		33.6
BD1205337		27.45
BD1205338		34.2
BD1205339		35.75
BD1205340		33.75
BD1205341		35.5
BD1205342		30.3
BD1205343		40.65
BD1205344		25.65
BD1205345		29.2
BD1205346		38.8
BD1205347		42.85
BD1205348		27.95
BD1205349		37.4
BD1205350		28.65
BD1205351		29.9
BD1205352		33.8
BD1205353		27.95
BD1205354		19.5
BD1205355		32.35
BD1205356		31.9
BD1205357		39.35
BD1205358		36.55
BD1205359		30.5
BD1205360		33.95
BD1205361		35.55
BD1205362		26.9
BD1205363		36.4
BD1205364		52.95
BD1205365		41.95
BD1205366		31.15
BD1205367		27.9
BD1205368		40.35
BD1205369		36.9
BD1205370		32.4
BD1205371		46.95
BD1205372		44.85
BD1205373		28
BD1205374		25.05
BD1205375		37.95
BD1205376		37.95
BD1205377		34.3
BD1205378		34.25
BD1205379		36.1
BD1205380		34.7
BD1205381		33.4
BD1205382		34.6
BD1205383		27.8
BD1205384		31.85
BD1205385		40.05
BD1205386		34
BD1205387		30.1
BD1205388		26.95
BD1205389		40.7
BD1205390		40.8
BD1205391		36.55
BD1205392		27.75
BD1205393		25.6
BD1205394		35.05
BD1205395		39.5
BD1205396		30.35
BD1205397		50.95
BD1205398		32.05
BD1205399		36.65
BD1205400		30.2
BD1205401		34.75
BD1205402		38.7
BD1205403		33.4
BD1205404		36
BD1205405		29.15
BD1205406		36.45
BD1205407		29
BD1205408		32.6
BD1205409		18.45
BD1205410		29.85
BD1205411		36.1
BD1205412		38.05
BD1205413		21.1
BD1205414		32.35
BD1205415		23.05
BD1205416		32.75
BD1205417		35.65
BD1205418		36.7
BD1205419		31.3
BD1205420		33.4
BD1205421		36.5
BD1205422		34.85
BD1205423		25.75
BD1205424		32.7
BD1205425		33.45
BD1205426		25.8
BD1205427		36.6
BD1205428		32.35
BD1205429		35.55
BD1205430		20.2
BD1205431		16.95
BD1205432		34.1
BD1205433		34.8
BD1205434		36.35
BD1205435		29.15
BD1205436		31.4
BD1205437		36.55
BD1205438		34.25
BD1205439		44.55
BD1205440		41.85
BD1205441		40.25
BD1205442		30.8
BD1205443		39.4
BD1205444		48.5
BD1205445		27.9
BD1205446		39.55
BD1205447		32.45
BD1205448		40.45
BD1205449		43.45
BD1205450		38.55
BD1205451		16.75
BD1205452		30.3
BD1205453		29.2
BD1205454		20.25
BD1205455		32.7
BD1205456		29
BD1205457		27.9
BD1205458		25.55
BD1205459		30.7
BD1205460		45.9
BD1205461		26.45
BD1205462		45.7
BD1205463		34.55
BD1205464		34.5
BD1205465		41.85
BD1205466		32
BD1205467		32.4
BD1205468		35.2
BD1205469		44.25
BD1205470		36.1
BD1205471		30.5
BD1205472		32.8
BD1205473		46.85
BD1205474		31.65
BD1205475		30.4
BD1205476		33.85
BD1205477		29.5
BD1205478		38.7
BD1205479		38.65
BD1205480		38.15
BD1205481		30.55
BD1205482		34.05
BD1205483		35.3
BD1205484		43.8
BD1205485		37.05
BD1205486		34.1
BD1205487		29.45
BD1205488		32.6
BD1205489		43.6
BD1205490		34.35
BD1205491		31.75
BD1205492		54.05
BD1205493		40.85
BD1205494		30.5
BD1205495		27.15
BD1205496		39.7
BD1205497		14.15
BD1205498		30.1
BD1205499		29.85
BD1205500		32.65
BD1205501		30.9
BD1205502		26.95
BD1205503		35.9
BD1205504		47.25
BD1205505		37.6
BD1205506		46.3
BD1205507		22.5
BD1205508		35.3
BD1205509		27.45
BD1205510		52.95
BD1205511		37.65
BD1205512		32.55
BD1205513		27.5
BD1205514		14.6
BD1205515		29.25
BD1205516		38.05
BD1205517		26.15
BD1205518		29.8
BD1205519		33.75
BD1205520		32.35
BD1205521		29.3
BD1205522		19.45
BD1205523		33.75
BD1205524		31.85
BD1205525		44.3
BD1205526		32.6
BD1205527		47.2
BD1205528		28.25
BD1205529		33.85
BD1205530		39
BD1205531		30.95
BD1205532		33.5
BD1205533		32.8
BD1205534		32.3
BD1205535		29.2
BD1205536		41.25
BD1205537		27.25
BD1205538		27.4
BD1205539		31.9
BD1205540		25.95
BD1205541		32.45
BD1205542		21.9
BD1205543		29.15
BD1205544		27.25
BD1205545		34.45
BD1205546		47.45
BD1205547		27.3
BD1205548		38.75
BD1205549		40
BD1205550		36.95
BD1205551		32.4
BD1205552		33.3
BD1205553		44.5
BD1205554		20.5
BD1205555		40.2
BD1205556		26.7
BD1205557		41.3
BD1205558		24.5
BD1205559		30.15
BD1205560		35.85
BD1205561		26.3
BD1205562		36.6
BD1205563		35.6
BD1205564		30
BD1205565		20.5
BD1205566		38.7
BD1205567		35.1
BD1205568		35.05
BD1205569		38.9
BD1205570		30.95
BD1205571		31.2
BD1205572		34.7
BD1205573		28.4
BD1205574		28.05
BD1205575		27
BD1205576		29.75
BD1205577		27.05
BD1205578		25.9
BD1205579		36.65
BD1205580		32.8
BD1205581		43.35
BD1205582		35.15
BD1205583		33.95
BD1205584		34.45
BD1205585		21.7
BD1205586		28.1
BD1205587		37.9
BD1205588		27.2
BD1205589		35.45
BD1205590		35.45
BD1205591		38.4
BD1205592		44.45
BD1205593		26.25
BD1205594		23.05
BD1205595		26.85
BD1205596		34.2
BD1205597		35.9
BD1205598		26.4
BD1205599		27.65
BD1205600		28.8
BD1205601		32.7
BD1205602		36.25
BD1205603		33.4
BD1205604		41.55
BD1205605		32.85
BD1205606		34.45
BD1205607		44.7
BD1205608		38.7
BD1205609		40.65
BD1205610		34.9
BD1205611		30.25
BD1205612		42.1
BD1205613		39.95
BD1205614		37.45
BD1205615		34.4
BD1205616		30.4
BD1205617		54.7
BD1205618		21.75
BD1205619		34.5
BD1205620		30.45
BD1205621		31.15
BD1205622		28.6
BD1205623		40.55
BD1205624		32.6
BD1205625		35.35
BD1205626		38.6
BD1205627		33.75
BD1205628		34.55
BD1205629		61.2
BD1205630		37.55
BD1205631		39.95
BD1205632		32.05
BD1205633		37.85
BD1205634		40.75
BD1205635		32.5
BD1205636		23.7
BD1205637		32.75
BD1205638		36.15
BD1205639		23.45
BD1205640		37.35
BD1205641		33.75
BD1205642		29.15
BD1205643		28.5
BD1205644		42.65
BD1205645		31.6
BD1205646		28.65
BD1205647		39.85
BD1205648		37.55
BD1205649		33.7
BD1205650		30.35
BD1205651		24.05
BD1205652		28.45
BD1205653		32.65
BD1205654		40
BD1205655		54.7
BD1205656		40.3
BD1205657		34.3
BD1205658		29.9
BD1205659		23.3
BD1205660		34.25
BD1205661		24.15
BD1205662		40.95
BD1205663		23.2
BD1205664		26.75
BD1205665		32.05
BD1205666		26.95
BD1205667		32.75
BD1205668		20.4
BD1205669		35.85
BD1205670		31.85
BD1205671		41.95
BD1205672		20.3
BD1205673		58.3
BD1205674		43.05
BD1205675		35.5
BD1205676		37.65
BD1205677		29.05
BD1205678		31.6
BD1205679		44.75
BD1205680		45.15
BD1205681		37.55
BD1205682		33.55
BD1205683		55.25
BD1205684		33.75
BD1205685		35.8
BD1205686		27.75
BD1205687		38.5
BD1205688		32.7
BD1205689		32.7
BD1205690		36.6
BD1205691		33.8
BD1205692		33.15
BD1205693		32.5
BD1205694		35.6
BD1205695		39.25
BD1205696		34.3
BD1205697		32.1
BD1205698		43.8
BD1205699		31.15
BD1205700		25.2
BD1205701		28.55
BD1205702		28.45
BD1205703		38.6
BD1205704		28.4
BD1205705		29.5
BD1205706		36.45
BD1205707		27.75
BD1205708		37.45
BD1205709		35.55
BD1205710		20.3
BD1205711		34.45
BD1205712		28.95
BD1205713		32.05
BD1205714		13.95
BD1205715		33.95
BD1205716		40.05
BD1205717		38.7
BD1205718		33.05
BD1205719		40.1
BD1205720		36
BD1205721		9.55
BD1205722		27.2
BD1205723		45.15
BD1205724		36.85
BD1205725		29.9
BD1205726		28.65
BD1205727		37.3
BD1205728		28.6
BD1205729		36.55
BD1205730		42.9
BD1205731		9.05
BD1205732		21.05
BD1205733		36.1
BD1205734		38.6
BD1205735		31.5
BD1205736		28.9
BD1205737		40.65
BD1205738		36.35
BD1205739		25.95
BD1205740		36.35
BD1205741		32.5
BD1205742		27
BD1205743		35.6
BD1205744		30.25
BD1205745		36.7
BD1205746		35
BD1205747		28.5
BD1205748		46.1
BD1205749		21.55
BD1205750		30.6
BD1205751		52.5
BD1205752		25.3
BD1205753		35.05
BD1205754		37.9
BD1205755		29.55
BD1205756		39.15
BD1205757		40
BD1205758		34.9
BD1205759		33.55
BD1205760		41.9
BD1205761		42.3
BD1205762		26.1
BD1205763		34.5
BD1205764		31.95
BD1205765		33.6
BD1205766		25.65
BD1205767		39.65
BD1205768		31.65
BD1205769		31.05
BD1205770		37.6
BD1205771		39.95
BD1205772		32.95
BD1205773		29.1
BD1205774		32.7
BD1205775		29.85
BD1205776		29.7
BD1205777		36.75
BD1205778		35.25
BD1205779		41.3
BD1205780		42.65
BD1205781		33.7
BD1205782		27.35
BD1205783		25.75
BD1205784		28.95
BD1205785		38.15
BD1205786		33.05
BD1205787		34.6
BD1205788		24.45
BD1205789		30.1
BD1205790		16.65
BD1205791		45.35
BD1205792		24.15
BD1205793		29.9
BD1205794		37.8
BD1205795		33.65
BD1205796		35.95
BD1205797		43.45
BD1205798		29.7
BD1205799		45.9
BD1205800		37
BD1205801		39.35
BD1205802		31.6
BD1205803		44.55
BD1205804		26.95
BD1205805		34.9
BD1205806		31.55
BD1205807		23.7
BD1205808		29.95
BD1205809		9.05
BD1205810		32.85
BD1205811		33.1
BD1205812		34.95
BD1205813		39.1
BD1205814		25.35
BD1205815		24.6
BD1205816		36.1
BD1205817		33.4
BD1205818		32.15
BD1205819		32.4
BD1205820		30.6
BD1205821		36.15
BD1205822		28.35
BD1205823		28.35
BD1205824		37.1
BD1205825		22.25
BD1205826		33.8
BD1205827		33.4
BD1205828		32.05
BD1205829		41.3
BD1205830		33.9
BD1205831		31.7
BD1205832		34.35
BD1205833		39.05
BD1205834		30.3
BD1205835		34.05
BD1205836		38.25
BD1205837		31.85
BD1205838		28.6
BD1205839		35.85
BD1205840		26.35
BD1205841		31.25
BD1205842		42.95
BD1205843		31.7
BD1205844		37.5
BD1205845		47.1
BD1205846		27
BD1205847		37.3
BD1205848		24.45
BD1205849		38.45
BD1205850		37
BD1205851		37.5
BD1205852		41.05
BD1205853		35.05
BD1205854		29.3
BD1205855		25.6
BD1205856		34.45
BD1205857		33.7
BD1205858		42
BD1205859		11.8
BD1205860		36.2
BD1205861		21.95
BD1205862		25.2
BD1205863		42.6
BD1205864		9.55
BD1205865		27.85
BD1205866		20.6
BD1205867		22.15
BD1205868		24.8
BD1205869		36.6
BD1205870		28.75
BD1205871		50.7
BD1205872		30.65
BD1205873		26.25
BD1205874		42.85
BD1205875		28.25
BD1205876		25.95
BD1205877		25.9
BD1205878		34.05
BD1205879		18.8
BD1205880		29.6
BD1205881		31.45
BD1205882		32.2
BD1205883		38.8
BD1205884		36.3
BD1205885		33.1
BD1205886		30.45
BD1205887		42.65
BD1205888		41.35
BD1205889		41.35
BD1205890		33.3
BD1205891		31.9
BD1205892		43.1
BD1205893		50.7
BD1205894		41.95
BD1205895		29.25
BD1205896		26.2
BD1205897		25.9
BD1205898		27.9
BD1205899		36.1
BD1205900		31.6
BD1205901		41.35
BD1205902		33.55
BD1205903		37.8
BD1205904		43.75
BD1205905		41
BD1205906		29.05
BD1205907		32.65
BD1205908		26.95
BD1205909		48.25
BD1205910		28.6
BD1205911		42.6
BD1205912		36.4
BD1205913		33.75
BD1205914		31.9
BD1205915		43.3
BD1205916		29.75
BD1205917		35.5
BD1205918		24.4
BD1205919		30.3
BD1205920		33.2
BD1205921		27.65
BD1205922		41.8
BD1205923		33.35
BD1205924		28.2
BD1205925		30.9
BD1205926		35.95
BD1205927		32.95
BD1205928		34.55
BD1205929		36.65
BD1205930		35.6
BD1205931		46.65
BD1205932		11.55
BD1205933		34.45
BD1205934		27.8
BD1205935		45.25
BD1205936		30.75
BD1205937		31.3
BD1205938		31.9
BD1205939		25.15
BD1205940		33.95
BD1205941		37.85
BD1205942		35.8
BD1205943		41.6
BD1205944		30.35
BD1205945		32.05
BD1205946		40.6
BD1205947		36.05
BD1205948		31.75
BD1205949		34.25
BD1205950		35.2
BD1205951		33.7
BD1205952		13.8
BD1205953		34.8
BD1205954		22.15
BD1205955		34.55
BD1205956		40.65
BD1205957		31.7
BD1205958		41.05
BD1205959		37.55
BD1205960		30.65
BD1205961		18.4
BD1205962		28.25
BD1205963		28
BD1205964		28.95
BD1205965		24.75
BD1205966		36.85
BD1205967		33.6
BD1205968		49.15
BD1205969		46.75
BD1205970		27.9
BD1205971		39.85
BD1205972		38.4
BD1205973		30.55
BD1205974		27.7
BD1205975		31.25
BD1205976		31.6
BD1205977		29.15
BD1205978		40.7
BD1205979		37.6
BD1205980		40.25
BD1205981		19.75
BD1205982		25.4
BD1205983		34.6
BD1205984		32.6
BD1205985		28.9
BD1205986		42.7
BD1205987		32.35
BD1205988		26.75
BD1205989		29.2
BD1205990		33.4
BD1205991		29.9
BD1205992		27.6
BD1205993		36
BD1205994		35.7
BD1205995		35.2
BD1205996		30.5
BD1205997		32.9
BD1205998		28.8
BD1205999		35.45
BD1206000		34.2
BD1206001		35.25
BD1206002		35.3
BD1206003		34
BD1206004		28.15
BD1206005		26.7
BD1206006		24.1
BD1206007		43.55
BD1206008		45.85
BD1206009		36
BD1206010		26.6
BD1206011		49.6
BD1206012		9.35
BD1206013		38.7
BD1206014		25.2
BD1206015		43.6
BD1206016		31.65
BD1206017		30.4
BD1206018		36.75
BD1206019		26.15
BD1206020		35.75
BD1206021		42.85
BD1206022		35.85
BD1206023		21.5
BD1206024		48.85
BD1206025		44.25
BD1206026		33.25
BD1206027		28.15
BD1206028		16.2
BD1206029		34
BD1206030		38.5
BD1206031		36.85
BD1206032		34.85
BD1206033		38.6
BD1206034		36.35
BD1206035		37.35
BD1206036		29.8
BD1206037		14.65
BD1206038		30.85
BD1206039		19.1
BD1206040		28.5
BD1206041		35.85
BD1206042		37
BD1206043		42.55
BD1206044		28.6
BD1206045		40.3
BD1206046		37.75
BD1206047		36.45
BD1206048		24.25
BD1206049		22.7
BD1206050		38.85
BD1206051		31.9
BD1206052		50.9
BD1206053		32.65
BD1206054		6.1
BD1206055		32.65
BD1206056		35.15
BD1206057		35.2
BD1206058		32.7
BD1206059		30.25
BD1206060		36.75
BD1206061		17.5
BD1206062		28.75
BD1206063		31.3
BD1206064		36.2
BD1206065		25.85
BD1206066		34.1
BD1206067		31.95
BD1206068		33.65
BD1206069		30.5
BD1206070		27.25
BD1206071		34.85
BD1206072		33.5
BD1206073		33.75
BD1206074		35.1
BD1206075		36.85
BD1206076		23.65
BD1206077		37.25
BD1206078		28.3
BD1206079		38.55
BD1206080		32.3
BD1206081		32.25
BD1206082		37.8
BD1206083		30.1
BD1206084		17.95
BD1206085		29.05
BD1206086		18.95
